Category: All categories

Town/City,palestine: (01/10/2023 - 30/11/2024)
White Pine,
Grosse Pointe Park,
Watersmeet,
Dearborn Heights,100
Carp Lake,
Lake City,
Hamtramck,80
Dearborn,73
Lake Michigan Beach,
Melvindale,67
Ellsworth,
Muir,
Brutus,
Rose City,
Riverside,
Rudyard,
Crystal Falls,
Canton,38
Burr Oak,
McMillan,
Fairgrove,
Camden,
Saranac,
Ypsilanti,35
Orchard Lake Village,34
Ann Arbor,34
Wallace,
Custer,
Centreville,
Torch Lake Township,
Harbor Beach,
Ypsilanti Charter Township,32
Bloomfield Township,32
Fairview,
Sunfield,
West Bloomfield Township,31
Pittsfield Charter Township,31
Tawas City,
Linwood,
Pellston,
Bellaire,
Wakefield,
Grosse Pointe Shores,
Northville,28
Burt,
Hillman,
East Lansing,27
Hazel Park,26
Schoolcraft,
Allen Park,25
Huntington Woods,25
Oak Park,25
Ferndale,25
Bloomfield Hills,25
Oden,
Byron,
Farmington Hills,24
Big Rapids Township,
Benzonia,
Beulah,
Clifford,
Reading,
Superior Charter Township,22
Sylvania,
Ann Arbor Charter Township,
University Center,
Walloon Lake,
Meridian charter Township,22
Clawson,22
Belding,
Garden City,22
Pentwater,
Memphis,
Manchester,
Webberville,
Grand Blanc Township,21
Flushing,
Birmingham,
Plymouth Charter Township,21
Columbiaville,
Inkster,20
East Grand Rapids,20
Clarksville,
Sterling Heights,20
Kent City,
Troy,20
Beverly Hills,20
York charter Township,20
Cement City,
Grosse Pointe Farms,19
Warren,19
Clayton,
Bingham Farms,
Novi,19
Westphalia,
Royal Oak,19
Grawn,
Rochester Hills,19
Allendale Charter Township,19
Farwell,
Walled Lake,
Bessemer,
McBain,
Lathrup Village,
Ada,
Lawrence,
Lincoln Park,18
Detroit,18
Sawyer,
Grand Blanc,18
Lansing,18
Croswell,
Oakland charter Township,
Lyon Charter Township,18
Central Lake,
Pickford,
Harbor Springs,
Livonia,
Boyne City,
Berkley,
Leland,
Delhi charter Township,
Addison,
Plymouth,17
Van Buren Charter Township,17
Pere Marquette Charter Township,
Franklin,
Armada,
Westland,
Southgate,
Galesburg,
Eau Claire,
Richland,
Trenton,
Commerce Charter Township,
Algonac,
Marquette,
Madison Heights,
Riverview,
Bangor,
Comstock Park,
Farmington,
Grand Rapids,
New Buffalo,
Olivet,
Buckley,
Ithaca,
Coloma charter Township,
Wyandotte,
Woodhaven,15
Romulus,
Taylor,
Forest Hills,
Cass City,
Chatham,
Whitmore Lake,
Vicksburg,
Port Austin,
Wellston,
Highland Park,
Clayton Township,
Manitou Beach-Devils Lake,
Mesick,
K. I. Sawyer Air Force Base,
Fort Gratiot Township,
Luna Pier,
Center Line,
Dexter,
Spring Arbor,
Rutland Charter Township,
Hillsdale,
Litchfield,
Norway,
Albion,
Kalamazoo,
Calumet Township,
Freeport,
Evart,
Standish,
Southfield,
Eaton Rapids,
Springfield Township,
Whitehall,
Shelby charter Township,
Millington,
Brighton,
Free Soil,
Fraser,
Sodus Township,
Goodrich,
Rockwood,
Richmond Township,
Augusta Charter Township,
Baldwin,
Charter Township of Clinton,
Mason,
Roscommon,
Potterville,
Jamestown,
Chesaning,
