Category: All categories

Town/City,Boycott: (01/10/2023 - 30/11/2024)
Watersmeet,
Carney,
Kinde,
Powers,
Akron,
Deckerville,
Omer,
Brutus,
Wolverine,
Fairgrove,
McBain,
Lake City,
Conklin,
Brownstown Charter Township,
Rosebush,
Cass City,
Chatham,
Coleman,
Elk Rapids,
Three Oaks,
Zilwaukee,
Carleton,
Britton,
Byron,
Bellaire,
Stockbridge,
Brown City,
Reese,
Linwood,
Norway,
Covert,
Rutland Charter Township,
Melvindale,
Dorr,
Dearborn Heights,100
Maybee,
Hamtramck,
Gladwin,
Roscommon,
Dearborn,92
Saranac,
Kent City,
Wayland,
Croswell,
Grand Blanc Township,
Blanchard,
Escanaba,
Spring Arbor,
Sand Lake,
Dryden,
East Grand Rapids,
Wheeler,
Morley,
Schoolcraft,
Goodrich,
Colon,
Harper Woods,
Marysville,
Mendon,
Onsted,
Vermontville,
Saint Ignace,
Sandusky,
Sawyer,
Evart,
Hampton Township,
Decatur,
Kalamazoo Township,
Yale,
Harbor Springs,
Williams charter Township,
Clawson,
Frankfort,
Erie,
Armada,
Emmett charter Township,
Watertown charter Township,
Torch Lake Township,
Hart,
Suttons Bay,
Union City,
Grawn,
Canton,61
Kinross Charter Township,
Superior Charter Township,
Blissfield,
Lambertville,
Harrison,
Hemlock,
Memphis,
Sheridan,
Bloomfield Township,
Portage charter Township,
Eaton Rapids,
Otsego,
Alanson,
Jonesville,
Allen Park,
North Muskegon,
Springfield Township,
Walker,53
Manistee,
Beaverton,
Twin Lake,
Millington,
Mattawan,
Oakland charter Township,
Boyne City,
Eau Claire,
Greenville,
Lathrup Village,
Birmingham,
Clio,
Windsor charter Township,
Potterville,
Chesaning,
Romulus,
Corunna,
Trufant,
Swartz Creek,
Union charter Township,46
Bangor Charter Township,
Ypsilanti Charter Township,45
Holly,
Garden City,
Williamsburg,
East Lansing,44
Almont,
Clay Township,
Rochester,
South Lyon,43
Ypsilanti,43
Adrian,
Middleville,
Fraser,43
Perry,
Farmington Hills,43
Lakeview,
Ann Arbor,42
Durand,
Walled Lake,
Cheboygan,
New Haven,
Gladstone,
Mackinaw City,
Hillsdale,
Houghton,
Beverly Hills,
Bridgman,
Quincy,
Redford Charter Township,
Ionia,
Bedford charter Township,
Saginaw Charter Township,
Battle Creek,
Tecumseh,
Northville,
Saint Clair,
Richland,
Lake Odessa,
Manchester,
Madison Heights,
Ithaca,
Hazel Park,
Kentwood,
Harrison charter Township,
Grandville,
Coldwater,
Port Huron,
Warren,
Clinton,
Brooklyn,
Williamston,
Grass Lake Charter Township,
Albion,
Berlin Charter Township,
North Branch,
Sanford,
Lincoln Park,
Westland,
Madison Charter Township,
Delhi charter Township,
Huron Charter Township,
Grosse Pointe Farms,
Burton,
River Rouge,
Grand Blanc,
East Jordan,
Saint Clair Shores,
Romeo,
Lapeer,
Pennfield Charter Township,
Edwardsburg,
University Center,
Southgate,
Hudsonville,
Sault Ste. Marie,
Troy,
Rochester Hills,
Sheridan Charter Township,
