poll_id,pollster,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sample_size,created_at,party,candidate_id,candidate_name,pct,score change
87486,PPP,1.4,0.0,IVR/Text,4.0,Michigan,2024-07-17,2024-07-18,650.0,7/18/24 20:18,DEM,19368,Joe Biden,44.0,1.5
87486,PPP,1.4,0.0,IVR/Text,4.0,Michigan,2024-07-17,2024-07-18,650.0,7/18/24 20:18,DEM,19368,Joe Biden,46.0,1.5
87506,Redfield & Wilton Strategies,1.8,0.4,Online Opt-In Panel,9.0,Michigan,2024-07-16,2024-07-18,437.0,7/21/24 11:06,DEM,19368,Joe Biden,41.0,1.5
87489,Trafalgar Group,0.7,0.6,IVR/Live Phone/Text/Online Opt-In Panel/Email,4.0,Michigan,2024-07-15,2024-07-17,1091.0,7/19/24 09:49,DEM,19368,Joe Biden,43.0,1.5
87500,EPIC/MRA,1.9,-0.7,,3.0,Michigan,2024-07-13,2024-07-17,600.0,7/21/24 11:06,DEM,19368,Joe Biden,42.0,1.5
87500,EPIC/MRA,1.9,-0.7,,3.0,Michigan,2024-07-13,2024-07-17,600.0,7/21/24 11:06,DEM,19368,Joe Biden,36.0,1.5
87455,Emerson,2.9,-1.1,IVR/Online Opt-In Panel/Text-to-Web,7.0,Michigan,2024-07-15,2024-07-16,1000.0,7/18/24 09:41,DEM,19368,Joe Biden,42.1,1.5
87455,Emerson,2.9,-1.1,IVR/Online Opt-In Panel/Text-to-Web,7.0,Michigan,2024-07-15,2024-07-16,1000.0,7/18/24 09:42,DEM,19368,Joe Biden,39.9,1.5
87494,Civiqs,2.4,-0.2,Online Opt-In Panel/Online Ad,8.0,Michigan,2024-07-13,2024-07-16,532.0,7/19/24 15:24,DEM,19368,Joe Biden,43.0,1.5
87399,MRG (Marketing Resource Group),1.8,0.1,,6.0,Michigan,2024-07-11,2024-07-13,600.0,7/15/24 10:06,DEM,19368,Joe Biden,36.0,1.5
87513,PPP,1.4,0.0,IVR/Text,4.0,Michigan,2024-07-11,2024-07-12,568.0,7/22/24 09:27,DEM,19368,Joe Biden,46.0,1.5
87420,Redfield & Wilton Strategies,1.8,0.4,Online Opt-In Panel,9.0,Michigan,2024-07-08,2024-07-10,465.0,7/15/24 20:31,DEM,19368,Joe Biden,43.0,1.5
