,Unnamed: 0,poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,endorsed_candidate_id,endorsed_candidate_name,endorsed_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,url_article,url_topline,url_crosstab,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,ranked_choice_round,hypothetical,party,answer,candidate_id,candidate_name,pct
0,19,89375,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,Michigan,11/3/24,11/4/24,,,,,,,216468,1113.0,lv,,lv,,11/4/24 19:24,,https://atlasintel.org/poll/usa-key-states-2024-11-04,https://atlasintel.org/poll/usa-key-states-2024-11-04,,https://cdn.atlasintel.org/f62c7f97-72b3-446a-9b95-a4a014ff5eb9.pdf,,,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,DEM,Harris,16661,Kamala Harris,47.8
1,20,89375,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,Michigan,11/3/24,11/4/24,,,,,,,216468,1113.0,lv,,lv,,11/4/24 19:24,,https://atlasintel.org/poll/usa-key-states-2024-11-04,https://atlasintel.org/poll/usa-key-states-2024-11-04,,https://cdn.atlasintel.org/f62c7f97-72b3-446a-9b95-a4a014ff5eb9.pdf,,,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,REP,Trump,16651,Donald Trump,49.6
2,21,89375,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,Michigan,11/3/24,11/4/24,,,,,,,216468,1113.0,lv,,lv,,11/4/24 19:24,,https://atlasintel.org/poll/usa-key-states-2024-11-04,https://atlasintel.org/poll/usa-key-states-2024-11-04,,https://cdn.atlasintel.org/f62c7f97-72b3-446a-9b95-a4a014ff5eb9.pdf,,,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,GRE,Stein,31116,Jill Stein,2.0
3,22,89375,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,Michigan,11/3/24,11/4/24,,,,,,,216468,1113.0,lv,,lv,,11/4/24 19:24,,https://atlasintel.org/poll/usa-key-states-2024-11-04,https://atlasintel.org/poll/usa-key-states-2024-11-04,,https://cdn.atlasintel.org/f62c7f97-72b3-446a-9b95-a4a014ff5eb9.pdf,,,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,LIB,Oliver,31790,Chase Oliver,0.2
4,23,89375,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,Michigan,11/3/24,11/4/24,,,,,,,216469,1113.0,lv,,lv,,11/4/24 19:24,,https://atlasintel.org/poll/usa-key-states-2024-11-04,https://atlasintel.org/poll/usa-key-states-2024-11-04,,https://cdn.atlasintel.org/f62c7f97-72b3-446a-9b95-a4a014ff5eb9.pdf,,,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,DEM,Harris,16661,Kamala Harris,48.3
5,24,89375,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,Michigan,11/3/24,11/4/24,,,,,,,216469,1113.0,lv,,lv,,11/4/24 19:24,,https://atlasintel.org/poll/usa-key-states-2024-11-04,https://atlasintel.org/poll/usa-key-states-2024-11-04,,https://cdn.atlasintel.org/f62c7f97-72b3-446a-9b95-a4a014ff5eb9.pdf,,,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,REP,Trump,16651,Donald Trump,49.8
6,101,89322,1478,Research Co.,,,Research Co.,449,Research Co.,2.4,-0.5,Online Opt-In Panel,6.0,Michigan,11/2/24,11/3/24,,,,,,,216173,450.0,lv,,lv,,11/4/24 08:43,,https://researchco.ca/2024/11/04/states-us-2024/,https://researchco.ca/2024/11/04/states-us-2024/,,https://researchco.ca/wp-content/uploads/2024/11/Tables_USStates_04Nov2024.pdf,,,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,DEM,Harris,16661,Kamala Harris,49.0
7,102,89322,1478,Research Co.,,,Research Co.,449,Research Co.,2.4,-0.5,Online Opt-In Panel,6.0,Michigan,11/2/24,11/3/24,,,,,,,216173,450.0,lv,,lv,,11/4/24 08:43,,https://researchco.ca/2024/11/04/states-us-2024/,https://researchco.ca/2024/11/04/states-us-2024/,,https://researchco.ca/wp-content/uploads/2024/11/Tables_USStates_04Nov2024.pdf,,,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,REP,Trump,16651,Donald Trump,47.0
8,135,89291,1754,Patriot Polling,,,Patriot Polling,732,Patriot Polling,1.1,0.6,IVR/Text,5.0,Michigan,11/1/24,11/3/24,,,,,,,216086,858.0,rv,,rv,,11/3/24 12:45,,https://patriotpolling.com/our-polls/f/final-2024-presidential-poll,https://patriotpolling.com/our-polls/f/final-2024-presidential-poll,,,,,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,DEM,Harris,16661,Kamala Harris,49.2
9,136,89291,1754,Patriot Polling,,,Patriot Polling,732,Patriot Polling,1.1,0.6,IVR/Text,5.0,Michigan,11/1/24,11/3/24,,,,,,,216086,858.0,rv,,rv,,11/3/24 12:45,,https://patriotpolling.com/our-polls/f/final-2024-presidential-poll,https://patriotpolling.com/our-polls/f/final-2024-presidential-poll,,,,,,8820,2024,U.S. President,0,,11/5/24,general,False,False,,False,REP,Trump,16651,Donald Trump,48.5
