poll_id,pollster_id,pollster,pollster_rating_id,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sample_size,population,population_full,created_at,url,source,internal,partisan,race_id,cycle,office_type,seat_number,election_date,stage,nationwide_batch,ranked_choice_reallocated,hypothetical,party,answer,candidate_id,candidate_name,pct
89375,1528,AtlasIntel,546,2.7,-0.8,Online Ad,6.0,Michigan,11/3/24,11/4/24,1113.0,lv,lv,11/4/24 19:24,https://atlasintel.org/poll/usa-key-states-2024-11-04,,,,8820,2024,U.S. President,0,11/5/24,general,False,False,False,DEM,Harris,16661,Kamala Harris,47.8
89375,1528,AtlasIntel,546,2.7,-0.8,Online Ad,6.0,Michigan,11/3/24,11/4/24,1113.0,lv,lv,11/4/24 19:24,https://atlasintel.org/poll/usa-key-states-2024-11-04,,,,8820,2024,U.S. President,0,11/5/24,general,False,False,False,REP,Trump,16651,Donald Trump,49.6
89375,1528,AtlasIntel,546,2.7,-0.8,Online Ad,6.0,Michigan,11/3/24,11/4/24,1113.0,lv,lv,11/4/24 19:24,https://atlasintel.org/poll/usa-key-states-2024-11-04,,,,8820,2024,U.S. President,0,11/5/24,general,False,False,False,GRE,Stein,31116,Jill Stein,2.0
89375,1528,AtlasIntel,546,2.7,-0.8,Online Ad,6.0,Michigan,11/3/24,11/4/24,1113.0,lv,lv,11/4/24 19:24,https://atlasintel.org/poll/usa-key-states-2024-11-04,,,,8820,2024,U.S. President,0,11/5/24,general,False,False,False,LIB,Oliver,31790,Chase Oliver,0.2
89375,1528,AtlasIntel,546,2.7,-0.8,Online Ad,6.0,Michigan,11/3/24,11/4/24,1113.0,lv,lv,11/4/24 19:24,https://atlasintel.org/poll/usa-key-states-2024-11-04,,,,8820,2024,U.S. President,0,11/5/24,general,False,False,False,DEM,Harris,16661,Kamala Harris,48.3
89375,1528,AtlasIntel,546,2.7,-0.8,Online Ad,6.0,Michigan,11/3/24,11/4/24,1113.0,lv,lv,11/4/24 19:24,https://atlasintel.org/poll/usa-key-states-2024-11-04,,,,8820,2024,U.S. President,0,11/5/24,general,False,False,False,REP,Trump,16651,Donald Trump,49.8
89322,1478,Research Co.,449,2.4,-0.5,Online Opt-In Panel,6.0,Michigan,11/2/24,11/3/24,450.0,lv,lv,11/4/24 08:43,https://researchco.ca/2024/11/04/states-us-2024/,,,,8820,2024,U.S. President,0,11/5/24,general,False,False,False,DEM,Harris,16661,Kamala Harris,49.0
89322,1478,Research Co.,449,2.4,-0.5,Online Opt-In Panel,6.0,Michigan,11/2/24,11/3/24,450.0,lv,lv,11/4/24 08:43,https://researchco.ca/2024/11/04/states-us-2024/,,,,8820,2024,U.S. President,0,11/5/24,general,False,False,False,REP,Trump,16651,Donald Trump,47.0
89291,1754,Patriot Polling,732,1.1,0.6,IVR/Text,5.0,Michigan,11/1/24,11/3/24,858.0,rv,rv,11/3/24 12:45,https://patriotpolling.com/our-polls/f/final-2024-presidential-poll,,,,8820,2024,U.S. President,0,11/5/24,general,False,False,False,DEM,Harris,16661,Kamala Harris,49.2
89291,1754,Patriot Polling,732,1.1,0.6,IVR/Text,5.0,Michigan,11/1/24,11/3/24,858.0,rv,rv,11/3/24 12:45,https://patriotpolling.com/our-polls/f/final-2024-presidential-poll,,,,8820,2024,U.S. President,0,11/5/24,general,False,False,False,REP,Trump,16651,Donald Trump,48.5
89315,1250,Trafalgar Group,338,0.7,0.6,IVR/Live Phone/Text/Online Opt-In Panel/Email,4.0,Michigan,11/1/24,11/3/24,1079.0,lv,lv,11/3/24 21:49,https://www.thetrafalgargroup.org/wp-content/uploads/2024/11/MI-Gen-Pres-Poll-Report-1103.pdf,,False,REP,8820,2024,U.S. President,0,11/5/24,general,False,False,False,DEM,Harris,16661,Kamala Harris,47.4
89315,1250,Trafalgar Group,338,0.7,0.6,IVR/Live Phone/Text/Online Opt-In Panel/Email,4.0,Michigan,11/1/24,11/3/24,1079.0,lv,lv,11/3/24 21:49,https://www.thetrafalgargroup.org/wp-content/uploads/2024/11/MI-Gen-Pres-Poll-Report-1103.pdf,,False,REP,8820,2024,U.S. President,0,11/5/24,general,False,False,False,REP,Trump,16651,Donald Trump,47.8
89246,1528,AtlasIntel,546,2.7,-0.8,Online Ad,6.0,Michigan,11/1/24,11/2/24,1198.0,lv,lv,11/2/24 20:35,https://projects.fivethirtyeight.com/polls/20241102_SwingStates_AtlasIntel.pdf,,,,8820,2024,U.S. President,0,11/5/24,general,False,False,False,DEM,Harris,16661,Kamala Harris,47.8
89246,1528,AtlasIntel,546,2.7,-0.8,Online Ad,6.0,Michigan,11/1/24,11/2/24,1198.0,lv,lv,11/2/24 20:35,https://projects.fivethirtyeight.com/polls/20241102_SwingStates_AtlasIntel.pdf,,,,8820,2024,U.S. President,0,11/5/24,general,False,False,False,REP,Trump,16651,Donald Trump,49.3
89246,1528,AtlasIntel,546,2.7,-0.8,Online Ad,6.0,Michigan,11/1/24,11/2/24,1198.0,lv,lv,11/2/24 20:35,https://projects.fivethirtyeight.com/polls/20241102_SwingStates_AtlasIntel.pdf,,,,8820,2024,U.S. President,0,11/5/24,general,False,False,False,GRE,Stein,31116,Jill Stein,1.7
89246,1528,AtlasIntel,546,2.7,-0.8,Online Ad,6.0,Michigan,11/1/24,11/2/24,1198.0,lv,lv,11/2/24 20:35,https://projects.fivethirtyeight.com/polls/20241102_SwingStates_AtlasIntel.pdf,,,,8820,2024,U.S. President,0,11/5/24,general,False,False,False,LIB,Oliver,31790,Chase Oliver,0.4
89246,1528,AtlasIntel,546,2.7,-0.8,Online Ad,6.0,Michigan,11/1/24,11/2/24,1198.0,lv,lv,11/2/24 20:35,https://projects.fivethirtyeight.com/polls/20241102_SwingStates_AtlasIntel.pdf,,,,8820,2024,U.S. President,0,11/5/24,general,False,False,False,DEM,Harris,16661,Kamala Harris,48.2
89246,1528,AtlasIntel,546,2.7,-0.8,Online Ad,6.0,Michigan,11/1/24,11/2/24,1198.0,lv,lv,11/2/24 20:35,https://projects.fivethirtyeight.com/polls/20241102_SwingStates_AtlasIntel.pdf,,,,8820,2024,U.S. President,0,11/5/24,general,False,False,False,REP,Trump,16651,Donald Trump,49.7
89303,235,InsiderAdvantage,243,2.0,-0.3,,5.0,Michigan,11/1/24,11/2/24,800.0,lv,lv,11/3/24 16:26,https://insideradvantage.com/insideradvantage-surveys-az-mi-wi-pa-nc/,,,,8820,2024,U.S. President,0,11/5/24,general,False,False,False,DEM,Harris,16661,Kamala Harris,47.3
89303,235,InsiderAdvantage,243,2.0,-0.3,,5.0,Michigan,11/1/24,11/2/24,800.0,lv,lv,11/3/24 16:26,https://insideradvantage.com/insideradvantage-surveys-az-mi-wi-pa-nc/,,,,8820,2024,U.S. President,0,11/5/24,general,False,False,False,REP,Trump,16651,Donald Trump,47.2
89337,1102,Emerson,88,2.9,-1.1,IVR/Online Opt-In Panel/Text-to-Web,7.0,Michigan,10/30/24,11/2/24,790.0,lv,lv,11/4/24 09:15,https://emersoncollegepolling.com/november-2024-final-swing-state-polls-too-close-to-call-election-for-president/,,,,8820,2024,U.S. President,0,11/5/24,general,False,False,False,DEM,Harris,16661,Kamala Harris,50.5
89337,1102,Emerson,88,2.9,-1.1,IVR/Online Opt-In Panel/Text-to-Web,7.0,Michigan,10/30/24,11/2/24,790.0,lv,lv,11/4/24 09:15,https://emersoncollegepolling.com/november-2024-final-swing-state-polls-too-close-to-call-election-for-president/,,,,8820,2024,U.S. President,0,11/5/24,general,False,False,False,REP,Trump,16651,Donald Trump,48.9
89274,1424,Siena/NYT,448,3.0,-1.5,Live Phone,9.0,Michigan,10/29/24,11/2/24,998.0,rv,rv,11/3/24 09:22,https://www.nytimes.com/2024/11/03/us/politics/harris-trump-times-siena-poll.html,,,,8820,2024,U.S. President,0,11/5/24,general,False,False,False,DEM,Harris,16661,Kamala Harris,44.0
89274,1424,Siena/NYT,448,3.0,-1.5,Live Phone,9.0,Michigan,10/29/24,11/2/24,998.0,rv,rv,11/3/24 09:22,https://www.nytimes.com/2024/11/03/us/politics/harris-trump-times-siena-poll.html,,,,8820,2024,U.S. President,0,11/5/24,general,False,False,False,REP,Trump,16651,Donald Trump,47.0
89274,1424,Siena/NYT,448,3.0,-1.5,Live Phone,9.0,Michigan,10/29/24,11/2/24,998.0,rv,rv,11/3/24 09:22,https://www.nytimes.com/2024/11/03/us/politics/harris-trump-times-siena-poll.html,,,,8820,2024,U.S. President,0,11/5/24,general,False,False,False,DEM,Harris,16661,Kamala Harris,42.0
89274,1424,Siena/NYT,448,3.0,-1.5,Live Phone,9.0,Michigan,10/29/24,11/2/24,998.0,rv,rv,11/3/24 09:22,https://www.nytimes.com/2024/11/03/us/politics/harris-trump-times-siena-poll.html,,,,8820,2024,U.S. President,0,11/5/24,general,False,False,False,REP,Trump,16651,Donald Trump,44.0
89274,1424,Siena/NYT,448,3.0,-1.5,Live Phone,9.0,Michigan,10/29/24,11/2/24,998.0,rv,rv,11/3/24 09:22,https://www.nytimes.com/2024/11/03/us/politics/harris-trump-times-siena-poll.html,,,,8820,2024,U.S. President,0,11/5/24,general,False,False,False,GRE,Stein,31116,Jill Stein,2.0
89274,1424,Siena/NYT,448,3.0,-1.5,Live Phone,9.0,Michigan,10/29/24,11/2/24,998.0,rv,rv,11/3/24 09:22,https://www.nytimes.com/2024/11/03/us/politics/harris-trump-times-siena-poll.html,,,,8820,2024,U.S. President,0,11/5/24,general,False,False,False,IND,West,31097,Cornel West,1.0
89274,1424,Siena/NYT,448,3.0,-1.5,Live Phone,9.0,Michigan,10/29/24,11/2/24,998.0,rv,rv,11/3/24 09:22,https://www.nytimes.com/2024/11/03/us/politics/harris-trump-times-siena-poll.html,,,,8820,2024,U.S. President,0,11/5/24,general,False,False,False,LIB,Oliver,31790,Chase Oliver,2.0
89274,1424,Siena/NYT,448,3.0,-1.5,Live Phone,9.0,Michigan,10/29/24,11/2/24,998.0,lv,lv,11/3/24 09:22,https://www.nytimes.com/2024/11/03/us/politics/harris-trump-times-siena-poll.html,,,,8820,2024,U.S. President,0,11/5/24,general,False,False,False,DEM,Harris,16661,Kamala Harris,47.0
89274,1424,Siena/NYT,448,3.0,-1.5,Live Phone,9.0,Michigan,10/29/24,11/2/24,998.0,lv,lv,11/3/24 09:22,https://www.nytimes.com/2024/11/03/us/politics/harris-trump-times-siena-poll.html,,,,8820,2024,U.S. President,0,11/5/24,general,False,False,False,REP,Trump,16651,Donald Trump,47.0
89274,1424,Siena/NYT,448,3.0,-1.5,Live Phone,9.0,Michigan,10/29/24,11/2/24,998.0,lv,lv,11/3/24 09:22,https://www.nytimes.com/2024/11/03/us/politics/harris-trump-times-siena-poll.html,,,,8820,2024,U.S. President,0,11/5/24,general,False,False,False,DEM,Harris,16661,Kamala Harris,45.0
89274,1424,Siena/NYT,448,3.0,-1.5,Live Phone,9.0,Michigan,10/29/24,11/2/24,998.0,lv,lv,11/3/24 09:22,https://www.nytimes.com/2024/11/03/us/politics/harris-trump-times-siena-poll.html,,,,8820,2024,U.S. President,0,11/5/24,general,False,False,False,REP,Trump,16651,Donald Trump,45.0
