"Label (Grouping)","Dearborn city, Wayne County, Michigan!!Total!!Estimate","Dearborn city, Wayne County, Michigan!!Total!!Margin of Error","Dearborn city, Wayne County, Michigan!!Percent!!Estimate","Dearborn city, Wayne County, Michigan!!Percent!!Margin of Error","Dearborn city, Wayne County, Michigan!!Male!!Estimate","Dearborn city, Wayne County, Michigan!!Male!!Margin of Error","Dearborn city, Wayne County, Michigan!!Percent Male!!Estimate","Dearborn city, Wayne County, Michigan!!Percent Male!!Margin of Error","Dearborn city, Wayne County, Michigan!!Female!!Estimate","Dearborn city, Wayne County, Michigan!!Female!!Margin of Error","Dearborn city, Wayne County, Michigan!!Percent Female!!Estimate","Dearborn city, Wayne County, Michigan!!Percent Female!!Margin of Error"
"Total population","105,818","±33","(X)","(X)","53,188","±2,142","(X)","(X)","52,630","±2,149","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","7,287","±1,618","6.9%","±1.5","3,127","±976","5.9%","±1.8","4,160","±1,066","7.9%","±2.0"
"        5 to 9 years","7,400","±1,806","7.0%","±1.7","4,256","±1,411","8.0%","±2.6","3,144","±1,048","6.0%","±2.0"
"        10 to 14 years","7,078","±1,339","6.7%","±1.3","3,683","±1,096","6.9%","±2.0","3,395","±1,124","6.5%","±2.1"
"        15 to 19 years","8,861","±1,682","8.4%","±1.6","4,352","±1,237","8.2%","±2.2","4,509","±1,234","8.6%","±2.2"
"        20 to 24 years","7,170","±1,652","6.8%","±1.6","4,252","±1,349","8.0%","±2.5","2,918","±1,268","5.5%","±2.3"
"        25 to 29 years","6,404","±1,605","6.1%","±1.5","3,464","±1,195","6.5%","±2.2","2,940","±878","5.6%","±1.7"
"        30 to 34 years","7,910","±1,809","7.5%","±1.7","4,545","±1,156","8.5%","±2.1","3,365","±1,015","6.4%","±2.0"
"        35 to 39 years","6,160","±1,376","5.8%","±1.3","2,921","±1,061","5.5%","±2.0","3,239","±912","6.2%","±1.7"
"        40 to 44 years","4,989","±1,453","4.7%","±1.4","2,306","±804","4.3%","±1.5","2,683","±1,021","5.1%","±2.0"
"        45 to 49 years","5,060","±1,145","4.8%","±1.1","2,567","±782","4.8%","±1.4","2,493","±863","4.7%","±1.6"
"        50 to 54 years","6,792","±1,631","6.4%","±1.5","3,084","±846","5.8%","±1.6","3,708","±1,153","7.0%","±2.2"
"        55 to 59 years","5,408","±1,328","5.1%","±1.3","2,609","±805","4.9%","±1.6","2,799","±1,030","5.3%","±1.9"
"        60 to 64 years","6,692","±1,258","6.3%","±1.2","3,422","±737","6.4%","±1.4","3,270","±1,001","6.2%","±1.9"
"        65 to 69 years","7,158","±1,561","6.8%","±1.5","3,452","±1,185","6.5%","±2.2","3,706","±979","7.0%","±1.9"
"        70 to 74 years","4,721","±1,335","4.5%","±1.3","2,245","±685","4.2%","±1.3","2,476","±882","4.7%","±1.7"
"        75 to 79 years","2,827","±1,128","2.7%","±1.1","1,247","±600","2.3%","±1.1","1,580","±826","3.0%","±1.6"
"        80 to 84 years","1,887","±870","1.8%","±0.8","981","±536","1.8%","±1.0","906","±498","1.7%","±1.0"
"        85 years and over","2,014","±763","1.9%","±0.7","675","±480","1.3%","±0.9","1,339","±571","2.5%","±1.1"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","14,478","±2,158","13.7%","±2.0","7,939","±1,752","14.9%","±3.2","6,539","±1,481","12.4%","±2.7"
"        15 to 17 years","5,752","±1,261","5.4%","±1.2","3,457","±1,113","6.5%","±2.0","2,295","±733","4.4%","±1.3"
"        Under 18 years","27,517","±3,038","26.0%","±2.9","14,523","±1,992","27.3%","±3.5","12,994","±2,120","24.7%","±3.7"
"        18 to 24 years","10,279","±2,264","9.7%","±2.1","5,147","±1,401","9.7%","±2.6","5,132","±2,041","9.8%","±3.7"
"        15 to 44 years","41,494","±3,029","39.2%","±2.9","21,840","±2,557","41.1%","±4.1","19,654","±2,398","37.3%","±4.0"
"        16 years and over","81,877","±3,066","77.4%","±2.9","40,966","±2,445","77.0%","±3.4","40,911","±2,453","77.7%","±3.8"
"        18 years and over","78,301","±3,039","74.0%","±2.9","38,665","±2,246","72.7%","±3.5","39,636","±2,294","75.3%","±3.7"
"        21 years and over","73,812","±2,939","69.8%","±2.8","37,161","±2,229","69.9%","±3.5","36,651","±1,951","69.6%","±3.5"
"        60 years and over","25,299","±3,155","23.9%","±3.0","12,022","±1,764","22.6%","±3.3","13,277","±1,879","25.2%","±3.6"
"        62 years and over","23,380","±3,032","22.1%","±2.9","11,154","±1,776","21.0%","±3.4","12,226","±1,793","23.2%","±3.4"
"        65 years and over","18,607","±2,731","17.6%","±2.6","8,600","±1,634","16.2%","±3.1","10,007","±1,511","19.0%","±3.0"
"        75 years and over","6,728","±1,346","6.4%","±1.3","2,903","±863","5.5%","±1.6","3,825","±841","7.3%","±1.6"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","35.5","±2.6","(X)","(X)","33.8","±2.1","(X)","(X)","38.1","±3.7","(X)","(X)"
"        Sex ratio (males per 100 females)","101.1","±8.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","77.3","±8.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","31.2","±5.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","46.1","±6.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","1.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
