City,Year,Dem votes,Rep votes,3rd-party,Total turnout,Population,Arab pop,% Arab of pop,Some college+,% ≥ Some-college,% Foreign-born-citizens,VAP (log ),Unnamed: 13,Unnamed: 14,Dem_Share,Rep_Share,3rd_Share,Arab_dummy,Post,DiD,log_VAP
Dearborn,2020.0,30719.0,13239.0,605.0,44563.0,93927.0,40725,0.4336," 41,183 ",0.00438,0.00392,0.748,,,0.6893386890469673,0.29708502569396134,0.013576285259071426,1,0,0,-0.2903523010076598
Dearborn Hts,2020.0,16623.0,9749.0,346.0,26718.0,55630.0,15069,0.2709," 23,159 ",0.00416,0.00368,0.756,,,0.6221648326970581,0.36488509618983456,0.012950071113107269,1,0,0,-0.27971390280260405
Hamtramck,2020.0,6628.0,1042.0,75.0,7745.0,21704.0,5366,0.2472," 5,449 ",0.00251,0.00461,0.659,,,0.8557779212395094,0.1345384118786314,0.009683666881859263,1,0,0,-0.41703174447962976
Dane County,2020.0,260185.0,78800.0,5801.0,344786.0,546695.0,1464,0.0027," 336,245 ",0.00615,0.00039,0.801,,,0.7546275080774741,0.22854756283607802,0.016824929086447827,0,0,0,-0.22189433191377778
Dearborn,2024.0,15208.0,17802.0,8359.0,41369.0,105818.0,"48,520",0.4585," 48,014 ",0.00454,0.00392,0.748,,,0.3676182648843337,0.4303222219536368,0.20205951316202955,1,1,1,-0.2903523010076598
Dearborn Hts,2024.0,9652.0,11083.0,4159.0,24894.0,62099.0,"20,795",0.3349," 26,760 ",0.00431,0.00368,0.756,,,0.38772394954607536,0.4452076805655981,0.16706836988832652,1,1,1,-0.27971390280260405
Hamtramck,2024.0,3271.0,3017.0,741.0,7029.0,27830.0,"8,479",0.3047," 7,004 ",0.00252,0.00461,0.659,,,0.4653578033859724,0.42922179541897854,0.10542040119504908,1,1,1,-0.41703174447962976
Dane County,2024.0,273995.0,85454.0,6477.0,365926.0,564777.0," 2,458 ",0.0044," 354,772 ",0.00628,0.00039,0.801,,,0.7487716095604029,0.23352809037892908,0.017700300060668004,0,1,0,-0.22189433191377778
,,,,,,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,
